,qid,docid,docno,rank,score,query,brand,model,text,clusters
0,q1,2968,d2969,0,8.21963989388405,auction,mg,b,mg b 1971 £Auction £Auction,10
2,q1,3356,d3357,2,8.21963989388405,auction,mercedes-benz,500sl-32,mercedesbenz 500sl32 1991 £Auction £Auction,8
1,q1,2983,d2984,1,8.21963989388405,auction,austin,seven,austin seven 1930 £Auction £Auction,6
3,q1,2959,d2960,3,8.109861098168976,auction,austin,mini,austin mini 1979 £Auction £Auction,6
4,q1,2960,d2961,4,8.109861098168976,auction,ford,escort,ford escort 1985 £Auction £Auction,3
5,q1,2961,d2962,5,8.109861098168976,auction,triumph,tr6,triumph tr6 1973 £Auction £Auction,9
6,q1,2963,d2964,6,8.109861098168976,auction,mini,cooper,mini cooper 2013 £Auction £Auction,2
7,q1,2964,d2965,7,8.109861098168976,auction,lanchester,ld10,lanchester ld10 1947 £Auction £Auction,4
8,q1,2966,d2967,8,8.109861098168976,auction,fiat,1600s,fiat 1600s 1970 £Auction £Auction,0
9,q1,2967,d2968,9,8.109861098168976,auction,fiat,500f,fiat 500f 2008 £Auction £Auction,0
10,q1,2969,d2970,10,8.109861098168976,auction,hudson,series+o,hudson series+o 1998 £Auction £Auction,5
11,q1,2972,d2973,11,8.109861098168976,auction,triumph,stag,triumph stag 1974 £Auction £Auction,9
12,q1,2976,d2977,12,8.109861098168976,auction,mini,cooper,mini cooper 2013 £Auction £Auction,2
13,q1,2985,d2986,13,8.109861098168976,auction,bmw,320ci,bmw 320ci 2005 £Auction £Auction,13
14,q1,2986,d2987,14,8.109861098168976,auction,ford,escort,ford escort 1974 £Auction £Auction,3
15,q1,2987,d2988,15,8.109861098168976,auction,jaguar,340,jaguar 340 1968 £Auction £Auction,7
16,q1,2988,d2989,16,8.109861098168976,auction,saab,96,saab 96 1972 £Auction £Auction,11
17,q1,2989,d2990,17,8.109861098168976,auction,morris,mini,morris mini 1965 £Auction £Auction,12
18,q1,2990,d2991,18,8.109861098168976,auction,porsche,turbo,porsche turbo 1980 £Auction £Auction,1
19,q1,2991,d2992,19,8.109861098168976,auction,fiat,124,fiat 124 2016 £Auction £Auction,0
