,qid,docid,docno,rank,score,query,brand,model,text,clusters
0,q1,3089,d3090,0,23.50553354494496,mercedes bmw x1,bmw,x1,"bmw x1 2017 £16,990 £16,990",11
72,q1,1202,d1203,72,7.190390288574131,mercedes bmw x1,BMW,i3,"BMW i3 2016 $16,995 $16,995",11
88,q1,3181,d3182,88,7.190390288574131,mercedes bmw x1,bmw,x3,"bmw x3 2014 £16,990 £16,990",11
111,q1,4002,d4003,111,7.190390288574131,mercedes bmw x1,bmw,840,"bmw 840 1994 £16,995 £16,995",11
1,q1,3297,d3298,1,9.265545765213263,mercedes bmw x1,mercedes,300sl,mercedes 300sl 1992 £Auction £Auction,5
5,q1,3354,d3355,5,9.061881976765301,mercedes bmw x1,mercedes benz,500sl,mercedes benz 500sl 1993 £Auction £Auction,5
6,q1,3368,d3369,6,9.061881976765301,mercedes bmw x1,mercedes benz,sl500,mercedes benz sl500 1981 £Auction £Auction,5
21,q1,3150,d3151,21,8.680283428209535,mercedes bmw x1,mercedes,350+sl+auto+-+3499cc,mercedes 350+sl+auto++3499cc 1976 £Auction £Auction,5
30,q1,3205,d3206,30,8.501287552993148,mercedes bmw x1,mercedes,sl55+amg+auto+-+e4+-+5439cc,mercedes sl55+amg+auto++e4++5439cc 2003 £Auction £Auction,5
31,q1,3406,d3407,31,8.501287552993148,mercedes bmw x1,mercedes,sl55+amg+auto+-+e4+-+5495cc,mercedes sl55+amg+auto++e4++5495cc 2003 £Auction £Auction,5
32,q1,3470,d3471,32,8.501287552993148,mercedes bmw x1,mercedes,cl55+amg+auto+-+e0+-+5439cc,mercedes cl55+amg+auto++e0++5439cc 2002 £Auction £Auction,5
33,q1,3472,d3473,33,8.501287552993148,mercedes bmw x1,mercedes,300+ce+auto+-+e0+-+2962cc,mercedes 300+ce+auto++e0++2962cc 1989 £Auction £Auction,5
34,q1,3763,d3764,34,8.501287552993148,mercedes bmw x1,mercedes,300+ce+auto+eo+2962cc,mercedes 300+ce+auto+eo+2962cc 1987 £Auction £Auction,5
40,q1,3107,d3108,40,8.32952466417377,mercedes bmw x1,mercedes,cls+63+amg+auto+-+e4+-+6208cc,mercedes cls+63+amg+auto++e4++6208cc 2008 £Auction £Auction,5
53,q1,2985,d2986,53,7.5135951438890025,mercedes bmw x1,bmw,320ci,bmw 320ci 2005 £Auction £Auction,5
